overall_rank,app,module,portability_score,importance_score,combined_score,recommended_wave,current_manifest,source_files,source_lines,detected_blockers,importance_reason,source_dir
92,ringsautomos,base,5,3,35,W0-current-batch,yes,3,220,none,通用处理或基础设施能力,isis/src/base/apps/ringsautomos
93,ringsmappt,base,5,3,35,W0-current-batch,yes,1,268,none,通用处理或基础设施能力,isis/src/base/apps/ringsmappt
94,sigmastretch,base,5,3,35,W0-current-batch,yes,1,83,none,通用处理或基础设施能力,isis/src/base/apps/sigmastretch
95,skymap,base,5,3,35,W0-current-batch,yes,1,400,none,通用处理或基础设施能力,isis/src/base/apps/skymap
96,slpmap,base,5,3,35,W0-current-batch,yes,1,382,none,通用处理或基础设施能力,isis/src/base/apps/slpmap
97,specdivfilter,base,5,3,35,W0-current-batch,yes,1,69,none,通用处理或基础设施能力,isis/src/base/apps/specdivfilter
98,spiceserver,base,5,3,35,W0-current-batch,yes,3,666,none,通用处理或基础设施能力,isis/src/base/apps/spiceserver
99,stretch,base,5,3,35,W0-current-batch,yes,3,126,none,通用处理或基础设施能力,isis/src/base/apps/stretch
100,svfilter,base,5,3,35,W0-current-batch,yes,1,56,none,通用处理或基础设施能力,isis/src/base/apps/svfilter
101,trim,base,5,3,35,W0-current-batch,yes,1,75,none,通用处理或基础设施能力,isis/src/base/apps/trim
102,trimfilter,base,5,3,35,W0-current-batch,yes,1,72,none,通用处理或基础设施能力,isis/src/base/apps/trimfilter
103,uncrop,base,5,3,35,W0-current-batch,yes,1,39,none,通用处理或基础设施能力,isis/src/base/apps/uncrop
104,fplanemap,control,5,3,35,W0-current-batch,yes,1,189,none,通用处理或基础设施能力,isis/src/control/apps/fplanemap
105,sumspice,control,5,3,35,W0-current-batch,yes,7,1850,none,通用处理或基础设施能力,isis/src/control/apps/sumspice
106,warp,control,5,3,35,W0-current-batch,yes,3,332,none,通用处理或基础设施能力,isis/src/control/apps/warp
107,apollo2isis,apollo,4,3,34,W0-current-batch,yes,1,410,mission_runtime_data,任务数据导入或标定能力,isis/src/apollo/apps/apollo2isis
108,apollocal,apollo,4,3,34,W0-current-batch,yes,3,126,mission_runtime_data,任务数据导入或标定能力,isis/src/apollo/apps/apollocal
109,ciss2isis,cassini,4,3,34,W0-current-batch,yes,3,501,mission_runtime_data,任务数据导入或标定能力,isis/src/cassini/apps/ciss2isis
110,vims2isis,cassini,4,3,34,W3-general-easy,no,1,541,mission_runtime_data,任务数据导入或标定能力,isis/src/cassini/apps/vims2isis
111,vimscal,cassini,4,3,34,W3-general-easy,no,2,1147,mission_runtime_data,任务数据导入或标定能力,isis/src/cassini/apps/vimscal
112,chan1m32isis,chandrayaan1,4,3,34,W3-general-easy,no,3,523,mission_runtime_data,任务数据导入或标定能力,isis/src/chandrayaan1/apps/chan1m32isis
113,clem2isis,clementine,4,3,34,W3-general-easy,no,7,2030,mission_runtime_data;platform_branch,任务数据导入或标定能力,isis/src/clementine/apps/clem2isis
114,clemhirescal,clementine,4,3,34,W0-current-batch,yes,1,119,mission_runtime_data,任务数据导入或标定能力,isis/src/clementine/apps/clemhirescal
115,clemnircal,clementine,4,3,34,W0-current-batch,yes,1,341,mission_runtime_data,任务数据导入或标定能力,isis/src/clementine/apps/clemnircal
116,clemuvviscal,clementine,4,3,34,W0-current-batch,yes,1,350,mission_runtime_data,任务数据导入或标定能力,isis/src/clementine/apps/clemuvviscal
117,eis2isis,clipper,4,3,34,W0-current-batch,yes,3,468,mission_runtime_data,任务数据导入或标定能力,isis/src/clipper/apps/eis2isis
118,dawnfc2isis,dawn,4,3,34,W0-current-batch,yes,3,237,mission_runtime_data,任务数据导入或标定能力,isis/src/dawn/apps/dawnfc2isis
119,dawnvir2isis,dawn,4,3,34,W0-current-batch,yes,1,158,mission_runtime_data,任务数据导入或标定能力,isis/src/dawn/apps/dawnvir2isis
120,gllnims2isis,galileo,4,3,34,W3-general-easy,no,1,602,mission_runtime_data,任务数据导入或标定能力,isis/src/galileo/apps/gllnims2isis
121,gllssi2isis,galileo,4,3,34,W0-current-batch,yes,1,259,mission_runtime_data,任务数据导入或标定能力,isis/src/galileo/apps/gllssi2isis
122,gllssical,galileo,4,3,34,W3-general-easy,no,3,565,mission_runtime_data,任务数据导入或标定能力,isis/src/galileo/apps/gllssical
123,amica2isis,hayabusa,4,3,34,W0-current-batch,yes,3,496,mission_runtime_data,任务数据导入或标定能力,isis/src/hayabusa/apps/amica2isis
124,nirs2isis,hayabusa,4,3,34,W3-general-easy,no,3,509,mission_runtime_data,任务数据导入或标定能力,isis/src/hayabusa/apps/nirs2isis
125,hyb2onc2isis,hayabusa2,4,3,34,W0-current-batch,yes,3,177,mission_runtime_data,任务数据导入或标定能力,isis/src/hayabusa2/apps/hyb2onc2isis
126,junocam2isis,juno,4,3,34,W0-current-batch,yes,1,443,mission_runtime_data,任务数据导入或标定能力,isis/src/juno/apps/junocam2isis
127,kaguyami2isis,kaguya,4,3,34,W3-general-easy,no,4,226,mission_runtime_data;platform_branch,任务数据导入或标定能力,isis/src/kaguya/apps/kaguyami2isis
128,kaguyasp2isis,kaguya,4,3,34,W0-current-batch,yes,1,319,mission_runtime_data,任务数据导入或标定能力,isis/src/kaguya/apps/kaguyasp2isis
129,kaguyatc2isis,kaguya,4,3,34,W0-current-batch,yes,3,348,mission_runtime_data,任务数据导入或标定能力,isis/src/kaguya/apps/kaguyatc2isis
130,mimap2isis,kaguya,4,3,34,W0-current-batch,yes,3,177,mission_runtime_data,任务数据导入或标定能力,isis/src/kaguya/apps/mimap2isis
131,lo2isis,lo,4,3,34,W0-current-batch,yes,3,227,mission_runtime_data,任务数据导入或标定能力,isis/src/lo/apps/lo2isis
132,lrolola2isis,lro,4,3,34,W0-current-batch,yes,3,214,mission_runtime_data,任务数据导入或标定能力,isis/src/lro/apps/lrolola2isis
133,mrf2isis,lro,4,3,34,W0-current-batch,yes,1,176,mission_runtime_data,任务数据导入或标定能力,isis/src/lro/apps/mrf2isis
134,mar102isis,mariner,4,3,34,W0-current-batch,yes,1,491,mission_runtime_data,任务数据导入或标定能力,isis/src/mariner/apps/mar102isis
135,mar10cal,mariner,4,3,34,W0-current-batch,yes,1,249,mission_runtime_data,任务数据导入或标定能力,isis/src/mariner/apps/mar10cal
136,mer2isis,mer,4,3,34,W0-current-batch,yes,1,126,mission_runtime_data,任务数据导入或标定能力,isis/src/mer/apps/mer2isis
137,mical,mer,4,3,34,W3-general-easy,no,3,616,mission_runtime_data,任务数据导入或标定能力,isis/src/mer/apps/mical
138,mdis2isis,messenger,4,3,34,W0-current-batch,yes,1,414,mission_runtime_data,任务数据导入或标定能力,isis/src/messenger/apps/mdis2isis
139,mdiscal,messenger,4,3,34,W3-general-easy,no,3,1246,mission_runtime_data,任务数据导入或标定能力,isis/src/messenger/apps/mdiscal
140,moccal,mgs,4,3,34,W0-current-batch,yes,3,465,mission_runtime_data,任务数据导入或标定能力,isis/src/mgs/apps/moccal
141,crism2isis,mro,4,3,34,W0-current-batch,yes,3,224,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/crism2isis
142,ctxcal,mro,4,3,34,W0-current-batch,yes,3,298,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/ctxcal
143,hi2isis,mro,4,3,34,W3-general-easy,no,5,619,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/hi2isis
144,hical,mro,4,3,34,W3-general-easy,no,3,598,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/hical
145,hirdr2isis,mro,4,3,34,W0-current-batch,yes,1,107,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/hirdr2isis
146,marci2isis,mro,4,3,34,W3-general-easy,no,3,562,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/marci2isis
147,mroctx2isis,mro,4,3,34,W0-current-batch,yes,1,322,mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/mroctx2isis
148,msi2isis,near,4,3,34,W0-current-batch,yes,3,362,mission_runtime_data,任务数据导入或标定能力,isis/src/near/apps/msi2isis
149,leisa2isis,newhorizons,4,3,34,W0-current-batch,yes,3,351,mission_runtime_data,任务数据导入或标定能力,isis/src/newhorizons/apps/leisa2isis
150,lorri2isis,newhorizons,4,3,34,W0-current-batch,yes,3,218,mission_runtime_data,任务数据导入或标定能力,isis/src/newhorizons/apps/lorri2isis
151,mvic2isis,newhorizons,4,3,34,W0-current-batch,yes,3,390,mission_runtime_data,任务数据导入或标定能力,isis/src/newhorizons/apps/mvic2isis
152,thm2isis,odyssey,4,3,34,W0-current-batch,yes,3,296,mission_runtime_data,任务数据导入或标定能力,isis/src/odyssey/apps/thm2isis
153,ocams2isis,osirisrex,4,3,34,W0-current-batch,yes,3,138,mission_runtime_data,任务数据导入或标定能力,isis/src/osirisrex/apps/ocams2isis
154,tagcams2isis,osirisrex,4,3,34,W0-current-batch,yes,3,252,mission_runtime_data,任务数据导入或标定能力,isis/src/osirisrex/apps/tagcams2isis
155,rolo2isis,rolo,4,3,34,W0-current-batch,yes,1,93,mission_runtime_data,任务数据导入或标定能力,isis/src/rolo/apps/rolo2isis
156,rososiris2isis,rosetta,4,3,34,W0-current-batch,yes,1,178,mission_runtime_data,任务数据导入或标定能力,isis/src/rosetta/apps/rososiris2isis
157,rosvirtis2isis,rosetta,4,3,34,W3-general-easy,no,3,746,mission_runtime_data,任务数据导入或标定能力,isis/src/rosetta/apps/rosvirtis2isis
158,tgocassis2isis,tgo,4,3,34,W3-general-easy,no,3,572,mission_runtime_data,任务数据导入或标定能力,isis/src/tgo/apps/tgocassis2isis
159,vikcal,viking,4,3,34,W3-general-easy,no,5,945,mission_runtime_data,任务数据导入或标定能力,isis/src/viking/apps/vikcal
160,voy2isis,voyager,4,3,34,W3-general-easy,no,1,531,mission_runtime_data,任务数据导入或标定能力,isis/src/voyager/apps/voy2isis
161,voycal,voyager,4,3,34,W0-current-batch,yes,1,352,mission_runtime_data,任务数据导入或标定能力,isis/src/voyager/apps/voycal
162,ringscam2map,base,3,3,33,W4-medium,no,2,775,external_process,通用处理或基础设施能力,isis/src/base/apps/ringscam2map
163,cisscal,cassini,3,3,33,W4-medium,no,3,3481,large_source;mission_runtime_data,任务数据导入或标定能力,isis/src/cassini/apps/cisscal
164,amicacal,hayabusa,3,3,33,W4-medium,no,2,1175,mission_runtime_data;optional_stack,任务数据导入或标定能力,isis/src/hayabusa/apps/amicacal
165,hyb2onccal,hayabusa2,3,3,33,W4-medium,no,2,760,mission_runtime_data;optional_stack,任务数据导入或标定能力,isis/src/hayabusa2/apps/hyb2onccal
166,moc2isis,mgs,2,3,32,W5-blocked-or-specialized,no,1,323,external_process;mission_runtime_data,任务数据导入或标定能力,isis/src/mgs/apps/moc2isis
167,marcical,mro,2,3,32,W5-blocked-or-specialized,no,3,708,external_process;mission_runtime_data,任务数据导入或标定能力,isis/src/mro/apps/marcical
168,cneteditor,qisis,2,3,32,W5-GUI,no,3,1087,posix_api;qt_gui,重要交互工具，但 CLI/核心能力优先,isis/src/qisis/apps/cneteditor
169,ipce,qisis,2,3,32,W5-GUI,no,5,1330,posix_api;qt_gui,重要交互工具，但 CLI/核心能力优先,isis/src/qisis/apps/ipce
170,qtie,qisis,2,3,32,W5-GUI,no,5,1773,posix_api;qt_gui,重要交互工具，但 CLI/核心能力优先,isis/src/qisis/apps/qtie
171,vik2isis,viking,2,3,32,W5-blocked-or-specialized,no,1,262,external_process;mission_runtime_data,任务数据导入或标定能力,isis/src/viking/apps/vik2isis
172,algebra,base,5,2,25,W0-current-batch,yes,3,221,none,通用但使用频率或链路位置较低,isis/src/base/apps/algebra
173,appjit,base,5,2,25,W4-medium,no,5,1101,none,通用但使用频率或链路位置较低,isis/src/base/apps/appjit
174,autoregtemplate,base,5,2,25,W4-medium,no,1,184,none,通用但使用频率或链路位置较低,isis/src/base/apps/autoregtemplate
175,bandnorm,base,5,2,25,W4-medium,no,3,196,none,通用但使用频率或链路位置较低,isis/src/base/apps/bandnorm
176,bit2bit,base,5,2,25,W0-current-batch,yes,1,156,none,通用但使用频率或链路位置较低,isis/src/base/apps/bit2bit
177,blend,base,5,2,25,W4-medium,no,1,424,none,通用但使用频率或链路位置较低,isis/src/base/apps/blend
178,butterworth,base,5,2,25,W4-medium,no,1,120,none,通用但使用频率或链路位置较低,isis/src/base/apps/butterworth
179,cam2cam,base,5,2,25,W4-medium,no,3,285,none,通用但使用频率或链路位置较低,isis/src/base/apps/cam2cam
180,catoriglab,base,5,2,25,W4-medium,no,1,85,none,通用但使用频率或链路位置较低,isis/src/base/apps/catoriglab
181,center,base,5,2,25,W4-medium,no,1,107,none,通用但使用频率或链路位置较低,isis/src/base/apps/center
182,circle,base,5,2,25,W4-medium,no,1,98,none,通用但使用频率或链路位置较低,isis/src/base/apps/circle
183,ckwriter,base,5,2,25,W4-medium,no,9,2025,none,通用但使用频率或链路位置较低,isis/src/base/apps/ckwriter
184,copylabel,base,5,2,25,W4-medium,no,1,303,none,通用但使用频率或链路位置较低,isis/src/base/apps/copylabel
185,cosi,base,5,2,25,W4-medium,no,1,47,none,通用但使用频率或链路位置较低,isis/src/base/apps/cosi
186,csminit,base,5,2,25,W4-medium,no,3,515,none,通用但使用频率或链路位置较低,isis/src/base/apps/csminit
187,csv2table,base,5,2,25,W0-current-batch,yes,3,260,none,通用但使用频率或链路位置较低,isis/src/base/apps/csv2table
188,ddd2isis,base,5,2,25,W4-medium,no,1,187,none,通用但使用频率或链路位置较低,isis/src/base/apps/ddd2isis
189,demprep,base,5,2,25,W4-medium,no,3,439,none,通用但使用频率或链路位置较低,isis/src/base/apps/demprep
190,deriv,base,5,2,25,W4-medium,no,1,46,none,通用但使用频率或链路位置较低,isis/src/base/apps/deriv
191,desmear,base,5,2,25,W4-medium,no,1,83,none,通用但使用频率或链路位置较低,isis/src/base/apps/desmear
192,desmile,base,5,2,25,W4-medium,no,3,327,none,通用但使用频率或链路位置较低,isis/src/base/apps/desmile
193,dstripe,base,5,2,25,W4-medium,no,3,178,none,通用但使用频率或链路位置较低,isis/src/base/apps/dstripe
194,editlab,base,5,2,25,W4-medium,no,1,138,none,通用但使用频率或链路位置较低,isis/src/base/apps/editlab
195,enlarge,base,5,2,25,W0-current-batch,yes,3,132,none,通用但使用频率或链路位置较低,isis/src/base/apps/enlarge
196,equalizer,base,5,2,25,W4-medium,no,1,115,none,通用但使用频率或链路位置较低,isis/src/base/apps/equalizer
197,errors,base,5,2,25,W4-medium,no,1,43,none,通用但使用频率或链路位置较低,isis/src/base/apps/errors
198,explode,base,5,2,25,W4-medium,no,3,139,none,通用但使用频率或链路位置较低,isis/src/base/apps/explode
199,fft,base,5,2,25,W4-medium,no,1,167,none,通用但使用频率或链路位置较低,isis/src/base/apps/fft
200,fillgap,base,5,2,25,W0-current-batch,yes,3,183,none,通用但使用频率或链路位置较低,isis/src/base/apps/fillgap
201,findgaps,base,5,2,25,W4-medium,no,5,471,none,通用但使用频率或链路位置较低,isis/src/base/apps/findgaps
202,findrx,base,5,2,25,W4-medium,no,1,129,none,通用但使用频率或链路位置较低,isis/src/base/apps/findrx
203,flip,base,5,2,25,W0-current-batch,yes,1,33,none,通用但使用频率或链路位置较低,isis/src/base/apps/flip
204,framestitch,base,5,2,25,W4-medium,no,3,280,none,通用但使用频率或链路位置较低,isis/src/base/apps/framestitch
205,gauss,base,5,2,25,W4-medium,no,1,78,none,通用但使用频率或链路位置较低,isis/src/base/apps/gauss
206,getsn,base,5,2,25,W4-medium,no,3,149,none,通用但使用频率或链路位置较低,isis/src/base/apps/getsn
207,gradient,base,5,2,25,W0-current-batch,yes,1,133,none,通用但使用频率或链路位置较低,isis/src/base/apps/gradient
