header,status,isis9_sha256,isis10_sha256,classes_added,classes_removed,classes_common,enums_added,enums_removed,enums_common,callables_added,callables_removed,deprecated_added,deprecated_removed
APrioriYSigmaFilter.h,changed_declarations,76dbfbadbee8f7c49202089a547fc23d4af190fd7c57f5c53c03b1fc6c782b29,8f1af7dd0ce213b4919f8bc014cd5e201eff538cde54e43d24b7efa1bc79a838,,QPair,"APrioriYSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriZFilter.h,changed_declarations,223cbc769d4245a4343c005fec389e31ce7c8fe08babcdf7df982a02e22a9e75,f3560157915c057174d038ea35e59054c9fd5b56115cf1fb616ee6cbecc9111e,,QPair,"APrioriZFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriZSigmaFilter.h,changed_declarations,0540cad278085888a3b20fbb42e765dd086d92418c0f588a5f6e63d8c523e5f6,7bec91ce93f64d98af6381b47b7b7363a717bda5687434cf40f53b0b8bb82a56,,QPair,"APrioriZSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AbstractFilter.h,changed_declarations,98f6f646f0d5ec429397b407a9ff2c2c749ef3f39aa337f820b920f7b1cf56f4,15c769544b015dc616bc9763d5327e820291453040ea602a17e4dd63410f5405,,QPair,"AbstractFilter
AbstractFilterSelector
ControlMeasure
ControlNet
ControlPoint
QBoxLayout
QButtonGroup
QCheckBox
QFlags
QString",,,FilterEffectiveness,,,,
AbstractFilterSelector.h,identical,e06f01044ee63fed40ab78d0c06e3c0136f391b28c78e79f8a91388267316a11,e06f01044ee63fed40ab78d0c06e3c0136f391b28c78e79f8a91388267316a11,,,"AbstractFilterSelector
ControlMeasure
ControlNet
ControlPoint
QComboBox
QHBoxLayout
QPushButton
QReadWriteLock",,,,,,,
AbstractImageItem.h,identical,090e4cfa1e388bcd34f4e4cb1d47a2281e9a2865d769a0a2cac9d2004ba4afea,090e4cfa1e388bcd34f4e4cb1d47a2281e9a2865d769a0a2cac9d2004ba4afea,,,"AbstractImageItem
ControlNet
QString
QVariant",,,,,,,
AbstractLeafItem.h,identical,c7d09a8fe79e3a4f0d1cd7229c0c08384d859b7a400c3885e4075359212470a0,c7d09a8fe79e3a4f0d1cd7229c0c08384d859b7a400c3885e4075359212470a0,,,"AbstractLeafItem
QList
QVariant",,,,,,,
AbstractMeasureItem.h,identical,860369bc70b8508e704aeb4464c262d9f29d89cfda687529e797353895995169,860369bc70b8508e704aeb4464c262d9f29d89cfda687529e797353895995169,,,"AbstractMeasureItem
ControlMeasure
QString
QVariant
TableColumnList",,,Column,,,,
AbstractMultipleChoiceFilter.h,identical,bd09460715696e8bb1d31f19b10ba93d4a97a07f2eb9e6c8534b34887adc15c6,bd09460715696e8bb1d31f19b10ba93d4a97a07f2eb9e6c8534b34887adc15c6,,,"AbstractFilterSelector
AbstractMultipleChoiceFilter
QComboBox
QString",,,,,,,
AbstractNullDataItem.h,changed_declarations,a06cab90d3564a78d361e3a89fc6ffc706b8a901753229c0c49c97905ba51491,088910c13270d5adf0af6d5d799fda294f7e02c79f6c35a0708a3744d8b0631f,,,"AbstractNullDataItem
QString",,,,AbstractNullDataItem(AbstractTreeItem*parent=0);,Q_OBJECT public:AbstractNullDataItem(AbstractTreeItem*parent=0);,,
AbstractNumberFilter.h,identical,fdab3091a2478c5b25d329c2011e6101cd45f55958bf780a79589ce0db8c368d,fdab3091a2478c5b25d329c2011e6101cd45f55958bf780a79589ce0db8c368d,,,"AbstractNumberFilter
ControlMeasure
ControlPoint
QButtonGroup
QLineEdit
QString",,,,,,,
AbstractParentItem.h,identical,082fa46d40ab0e671c6874fda91ec31e33909fb6f6c202f017fc93306bd6e619,082fa46d40ab0e671c6874fda91ec31e33909fb6f6c202f017fc93306bd6e619,,,"AbstractParentItem
QList
QVariant",,,,,,,
AbstractPlate.h,identical,c7b1952b5b592ca82943693682aa009dc255680fb1c5a2202e69544cb533a884,c7b1952b5b592ca82943693682aa009dc255680fb1c5a2202e69544cb533a884,,,"AbstractPlate
Angle
Distance
Intercept
Latitude
Longitude
SurfacePoint",,,,,,,
AbstractPlotTool.h,identical,b91b376237da24dab238d1abb66873e12585c98b28416497eefdc8ee201faf22,b91b376237da24dab238d1abb66873e12585c98b28416497eefdc8ee201faf22,,,"AbstractPlotTool
CubePlotCurve
PlotWindow
QComboBox
QPen
RubberBandComboBox",,,,,,,
AbstractPointItem.h,identical,1f7133a574b5d5fa05d66cb0efb9bb41cbbce858eabc7621ca8c1596ba89efce,1f7133a574b5d5fa05d66cb0efb9bb41cbbce858eabc7621ca8c1596ba89efce,,,"AbstractPointItem
ControlPoint
Distance
Latitude
Longitude
QString
QVariant
SurfacePoint
TableColumnList",,,Column,,,,
AbstractProjectItemView.h,identical,f98764502054f360e36a408acaeb12a1a65a8f3e5cfa48cfea89081b80af6883,f98764502054f360e36a408acaeb12a1a65a8f3e5cfa48cfea89081b80af6883,,,"AbstractProjectItemView
ProjectItem
ProjectItemModel
QAction
QDragEnterEvent
QList
QWidget",,,,,,,
AbstractShape.h,identical,60d2d1bd715dca6ff50578472d4a6f569828fb2ee8cd8e3222a4014c1b217915,60d2d1bd715dca6ff50578472d4a6f569828fb2ee8cd8e3222a4014c1b217915,,,,,,,,,,
AbstractStringFilter.h,identical,1e0e84189aedecfd42d1fdb2c12e890a19926b26a7bdbeb22c31875a8545a973,1e0e84189aedecfd42d1fdb2c12e890a19926b26a7bdbeb22c31875a8545a973,,,"AbstractFilterSelector
AbstractStringFilter
ControlMeasure
ControlPoint
QLineEdit
QString",,,,,,,
AbstractTableDelegate.h,identical,7014249b4817b0263e0fb463b66857c0345bfa11abfc832a612d2a4b78d3e82c,7014249b4817b0263e0fb463b66857c0345bfa11abfc832a612d2a4b78d3e82c,,,"AbstractTableDelegate
AbstractTreeItem
QString
QWidget
TableColumn",,,,,,,
AbstractTableModel.h,identical,fcdc4743fac6041c7e0950953c5ff0ef103dc999043af42e625768b752833184,fcdc4743fac6041c7e0950953c5ff0ef103dc999043af42e625768b752833184,,,"AbstractTableDelegate
AbstractTableModel
AbstractTreeModel
BusyLeafItem
LessThanFunctor
LessThanFunctorData
QAtomicInt
QFutureWatcher
QList
QTimer
SortingCanceledException
TableColumn
TableColumnList",,,Warning,,,,
AbstractTreeItem.h,changed_non_declaration,7996a70e970114ee0cc5eeb8ca163fbfae468b112b2c107a82e30c8f24f09dc7,c9c101da3e76ea062ceee940d6d954a00846c7f858ed612df6824919c6036aca,,,"AbstractTreeItem
ControlMeasure
ControlPoint
QFontMetrics
QList
QString
QVariant",,,InternalPointerType,,,,
AbstractTreeModel.h,changed_declarations,0ab600291f51edaebc2e3ebd9a1dddee1201f882b972fb41a4b84abee75adab8,0fb92702eae4a4765c5bdaba3bdc318bc976fd9da903cf53be32fa4bf17dfd57,,QPair,"AbstractTreeItem
AbstractTreeModel
BusyLeafItem
ControlNet
FilterFunctor
FilterWidget
QFont
QFutureWatcher
QModelIndex
QMutex
QSize
QString
RootItem
TreeView",,,InterestingItems,,,,
AdaptiveGruen.h,identical,8e879ac7cf1fd36f02b36f42e71229baa961c4c327bb588545c5674ce1fe4f0b,8e879ac7cf1fd36f02b36f42e71229baa961c4c327bb588545c5674ce1fe4f0b,,,"AdaptiveGruen
Pvl",,,,,,,
AdjustedLatitudeFilter.h,changed_declarations,fd5d8ef830b98348cc72c653288c78e723da9f6fb0f348360163caad5d18f3af,6a3f542cc79c34b7de877697ee685458e273bde60596764e268152c127de42ae,,QPair,"AbstractFilterSelector
AdjustedLatitudeFilter
ControlMeasure
ControlPoint
QString",,,,,,,
AdjustedLatitudeSigmaFilter.h,changed_declarations,70e6ffe355c1147c2b47b6524b22932cfd1f9c3eb2751c7af552df4a4a2d9995,fa357c78861976c41962b72cbf62a2cec56feb3dd4c041aa3bec41b11f43fd8b,,QPair,"AbstractFilterSelector
AdjustedLatitudeSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedLongitudeFilter.h,changed_declarations,a38ed960e40c1ead54d6e9e4414833a49122654245934a05d8f61561cd89dcd3,c0f5dbfa0ce283b1913cfa8eb100d865b188fcda80b75ce2c61c24467fe8a3f4,,QPair,"AbstractFilterSelector
AdjustedLongitudeFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedLongitudeSigmaFilter.h,changed_declarations,1c503b345700ba13edac85d8e5aaee306dbc91bb4daa850fbc6d2e8f785296a7,91e41a5279cc55ffdf2d847a43d47cef74d7ca36e399ce0e364b07ae7d252f93,,QPair,"AbstractFilterSelector
AdjustedLongitudeSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedRadiusFilter.h,changed_declarations,98e1595e6573f770c92381783fc828301f6e12d1231009b3541402030131daa3,574e8efc4c3c95ef5a0a7df11395bf78d51e91148c91512bcf0f1ac78b0d5f1a,,QPair,"AbstractFilterSelector
AdjustedRadiusFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedRadiusSigmaFilter.h,changed_declarations,d18e921feec27ce26cd96cc7ffdbcad3a8e7bf45b93ea32349666d9d89d93a44,cc7fccd38cafc516fe92e33698ce01d29f5b770110ab87783615a9eaefa43f25,,QPair,"AdjustedRadiusSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedXFilter.h,changed_declarations,56d000cd3a95d773fabbd18915250db0f6e867b15588a5c9c3b902fecbcd9bd3,5f548197ffcccb0cceaf0a5ae1d939d63a7f003f4380201358c2e1746f6f4f21,,QPair,"AdjustedXFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedXSigmaFilter.h,changed_declarations,05231e4c9b629d579a1dbedbbd4e28894488eca9c089cb756fd2086282fc002c,568b6ac90d6121ee27e472dbfb3846d2e63673f6cde68582488f0fb21a27e291,,QPair,"AdjustedXSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedYFilter.h,changed_declarations,a9ca79affea7dfe8ce157585f9f9e299fb87cb42a848ccc5f3bf85a41a8b5bc2,e0fdc41d9e9b05fd50d77a12ef7d4f40649702956a089611787437dfefc58347,,QPair,"AdjustedYFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedYSigmaFilter.h,changed_declarations,862269304ccf70301f5c7b12a6e240c4a6f7ec0a313f0c49d7a4ab31b9535e9e,1a309b52f5fd7aedf51d061bd64b3eaf34b2d8d3d70fd79f8a206646fbb0575b,,QPair,"AdjustedYSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedZFilter.h,changed_declarations,e758fa3fc9858b4ef56092c2829aeda0cc7a24ff07af6ffa920da14b246fc76a,254d4082c6115b8a2f73797c34b5a63b7dc1be634572033eda10998cb4dca1dd,,QPair,"AdjustedZFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdjustedZSigmaFilter.h,changed_declarations,5e4495d809aa1e27b0a997a4919584335a5837f088d917d6e006356428dcc94b,64d2a5b79318b0f878a275458a9c962b613ecc93d78f7c2680ab7b2a350339fe,,QPair,"AdjustedZSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
AdvancedStretch.h,identical,f2c501f767ca04be538ae5035b815b96e176b42710304aa34d25507e1a699402,f2c501f767ca04be538ae5035b815b96e176b42710304aa34d25507e1a699402,,,"AdvancedStretch
CubeStretch
CubeViewport
Histogram
QColor
QComboBox
QLayout
QStackedWidget
QString
Stretch",,,,,,,
AdvancedStretchDialog.h,identical,69b1068e889cdb379f28feca3be88f4aba5ddc09d51e0679e27ded9ca622ba0e,69b1068e889cdb379f28feca3be88f4aba5ddc09d51e0679e27ded9ca622ba0e,,,"AdvancedStretch
AdvancedStretchDialog
CubeStretch
CubeViewport
Histogram
QShowEvent
QWidget
Stretch",,,,,,,
AdvancedTrackTool.h,identical,1ae71aacfad9a8a3bf03dccb86dc0dfce9955a5b8c37508a5b4c521c68258a9c,1ae71aacfad9a8a3bf03dccb86dc0dfce9955a5b8c37508a5b4c521c68258a9c,,,"AdvancedTrackTool
MdiCubeViewport
QAction
TableMainWindow",,,,,,,
Affine.h,identical,b5b21e90e4c522c02b891ef68e62ddd1734bf8ce900cf8b8e14a885bbf60a37a,b5b21e90e4c522c02b891ef68e62ddd1734bf8ce900cf8b8e14a885bbf60a37a,,,Affine,,,,,,,
AgastAlgorithm.h,identical,89f3064d2163efa22b6a21cbbdb8fc9cdce8ae28884e897a2d89dc28cf5e61a7,89f3064d2163efa22b6a21cbbdb8fc9cdce8ae28884e897a2d89dc28cf5e61a7,,,AgastAlgorithm,,,,,,,
Albedo.h,identical,f4f6aceed5c716bcc1df655e8ea289b26208dfd6abbf2715a72c81ec5978f0af,f4f6aceed5c716bcc1df655e8ea289b26208dfd6abbf2715a72c81ec5978f0af,,,"Albedo
Pvl",,,,,,,
AlbedoAtm.h,identical,7c99aff547473db3fde81b23dde457542861e6a577001dc7cfb5969559217ec2,7c99aff547473db3fde81b23dde457542861e6a577001dc7cfb5969559217ec2,,,"AlbedoAtm
Pvl",,,,,,,
AlphaCube.h,identical,00c48afd4ac18dc0325a283bd631427f6ac701dbcefa73d4645d47ab8c7cbb22,00c48afd4ac18dc0325a283bd631427f6ac701dbcefa73d4645d47ab8c7cbb22,,,"AlphaCube
Cube",,,,,,,
AmicaCalUtils.h,changed_declarations,1ad83b5e8b981aac84abe9f3811b7c0969176828d89475c5809af96e47605cfc,dffc7bb24a673bdcfafe68f6eb447576221af62a9cbd33ff72d6d74e79b5c752,,,,,,,"SpiceQL::translateNameToCode(target.toLatin1().data(),""amica"",useWeb);
auto [obsStartTime,kernels]=SpiceQL::strSclkToEt(-130,scStartTime.toLatin1().data(),""amica"",useWeb);
bool useWeb=QString(Preference::Preferences().findGroup(""SpiceQL"")[""UseSpiceQL""]).toUpper()==""TRUE"";
std::copy(sunLt[0].begin(),sunLt[0].begin()+3,sunv);","Isis::FileName leapseconds(""$base/kernels/lsk/naif????.tls"");
Isis::FileName pck1(""$hayabusa/kernels/tspk/de403s.bsp"");
Isis::FileName pck2(""$hayabusa/kernels/tspk/sb_25143_140.bsp"");
Isis::FileName pck3(""$hayabusa/kernels/spk/hay_jaxa_050916_051119_v1n.bsp"");
Isis::FileName pck4(""$hayabusa/kernels/spk/hay_osbj_050911_051118_v1n.bsp"");
Isis::FileName sclk(""$hayabusa/kernels/sclk/hayabusa.tsc"");
QString leapsecondsName(leapseconds.expanded());
QString pckName1(pck1.expanded());
QString pckName2(pck2.expanded());
QString pckName3(pck3.expanded());
QString pckName4(pck4.expanded());
QString sclkName(sclk.expanded());
bodn2c_c(target.toLatin1().data(),&tcode,&found);
furnsh_c(leapsecondsName.toLatin1().data());
furnsh_c(pckName1.toLatin1().data());
furnsh_c(pckName2.toLatin1().data());
furnsh_c(pckName3.toLatin1().data());
furnsh_c(pckName4.toLatin1().data());
furnsh_c(sclkName.toLatin1().data());
leapseconds=leapseconds.highestVersion();
loadNaifTiming();
scs2e_c(-130,scStartTime.toLatin1().data(),&obsStartTime);
spkpos_c(target.toLatin1().data(),obsStartTime,""J2000"",""LT+S"",""sun"",sunv,&lt);",,
AmicaImportFits.h,identical,21c9a1a0fb387a3c054e839bc1c98eeeb2db2e3ae7878ec8de122b52f70fd030,21c9a1a0fb387a3c054e839bc1c98eeeb2db2e3ae7878ec8de122b52f70fd030,,,AmicaImportFits,,,,,,,
Angle.h,identical,c89819b85c04ff214f854f41c0c787b87a51971495987820528ab18257422759,c89819b85c04ff214f854f41c0c787b87a51971495987820528ab18257422759,,,"Angle
QString",,,Units,,,,
Anisotropic1.h,identical,508593a1ac241178db535b4b166eaa89707cc75e113eac26fb95b2b2eeacc5ca,508593a1ac241178db535b4b166eaa89707cc75e113eac26fb95b2b2eeacc5ca,,,"Anisotropic1
Pvl",,,,,,,
Anisotropic2.h,identical,d28a88b4ad8b55ca4941c63f4077884bfce481f163e7c680fbb35f186466912a,d28a88b4ad8b55ca4941c63f4077884bfce481f163e7c680fbb35f186466912a,,,"Anisotropic2
Pvl",,,,,,,
Apollo.h,identical,0a7245ad27e7a6173bf30728c1a7ffda43a0ee10a18fd57b77fdba5cdbdaef45,0a7245ad27e7a6173bf30728c1a7ffda43a0ee10a18fd57b77fdba5cdbdaef45,,,Apollo,,,,,,,
ApolloMetricCamera.h,identical,b8f5e192162cda95295cecf39c5fb189b66738b2a71628e7c6dbe199c59c0f84,b8f5e192162cda95295cecf39c5fb189b66738b2a71628e7c6dbe199c59c0f84,,,ApolloMetricCamera,,,,,,,
ApolloMetricDistortionMap.h,identical,e2b3207bc78c6fe054b8af399f203a405b82e3c02b111cb4fa9a47d0fbf87c9f,e2b3207bc78c6fe054b8af399f203a405b82e3c02b111cb4fa9a47d0fbf87c9f,,,ApolloMetricDistortionMap,,,,,,,
ApolloPanIO.h,identical,3cfc246c4597aa337ec8b0a5326496bed46b2723ba26015dd2d19b165fb8f62d,3cfc246c4597aa337ec8b0a5326496bed46b2723ba26015dd2d19b165fb8f62d,,,"Affine2D
ApolloPanIO
FidObs",,,,,,,
ApolloPanoramicCamera.h,identical,5b7cf4ecbfae08bcb7ef760d1da8333c5911e7f285b4b505549e824b01a9f21a,5b7cf4ecbfae08bcb7ef760d1da8333c5911e7f285b4b505549e824b01a9f21a,,,"ApolloPanoramicCamera
PvlGroup",,,,,,,
ApolloPanoramicDetectorMap.h,identical,19c30460f0ccf4371a343b8b9bca945f14a78f57556ac6a747e22417cf8f43b3,19c30460f0ccf4371a343b8b9bca945f14a78f57556ac6a747e22417cf8f43b3,,,ApolloPanoramicDetectorMap,,,,,,,
Application.h,changed_declarations,d7a78bcc2c1d7ab6aaaa2c51867e43037458e0d1f1282c0e855038f6214019c5,895aab8c3fb0324d23a85e0a7735c96bf71156f56672d17d2dd48eeb88a9d770,,,"Application
Gui
IException
ProgramLauncher
Progress
QLocalSocket",,,,static QString AleVersion();,,,
Area3D.h,identical,b77c46dc8cbec01170e218fc2d0e8e48b575599b459f6a0af2bb8fc2387a5791,b77c46dc8cbec01170e218fc2d0e8e48b575599b459f6a0af2bb8fc2387a5791,,,"Area3D
Displacement
Distance",,,,,,,
AssetSidebarStrategy.h,identical,bb7008540fe615b0e7d1ff8c75040c84d3b3e6c639a6443b29a88b32221103ed,bb7008540fe615b0e7d1ff8c75040c84d3b3e6c639a6443b29a88b32221103ed,,,"AssetSidebarStrategy
PvlObject",,,CreateSource,,,,
AtmosModel.h,identical,5fe1fcf3f89435ee4d3e13f24827b44c36e458f6eadf8c23599db7ec420c0842,5fe1fcf3f89435ee4d3e13f24827b44c36e458f6eadf8c23599db7ec420c0842,,,"AtmosModel
NumericalAtmosApprox
Pvl",,,,,,,
AtmosModelFactory.h,identical,9a4010cc62e103c96a776171f0204698a346aece2fd26bf1c2508c7cfe32fddb,9a4010cc62e103c96a776171f0204698a346aece2fd26bf1c2508c7cfe32fddb,,,"AtmosModel
AtmosModelFactory
PhotoModel
Pvl",,,,,,,
AutoReg.h,identical,2e004aa1d099d1fc0228edd5614a5092b7f66c90ded44d055e78c4ef87e3a722,2e004aa1d099d1fc0228edd5614a5092b7f66c90ded44d055e78c4ef87e3a722,,,"AutoReg
AutoRegItem
Buffer
Pvl
QString",,,"GradientFilterType
RegisterStatus",,,,
AutoRegFactory.h,identical,aa537067d41c53d77554d963a641bacd78ee5470a3f8444625e1c90975aa8966,aa537067d41c53d77554d963a641bacd78ee5470a3f8444625e1c90975aa8966,,,"AutoReg
AutoRegFactory
Pvl",,,,,,,
BRISKAlgorithm.h,identical,19bbc00a1f61685876f5a1c7d51c2e5ce390f960fd3f5b1aa88814b9e83a080e,19bbc00a1f61685876f5a1c7d51c2e5ce390f960fd3f5b1aa88814b9e83a080e,,,BRISKAlgorithm,,,,,,,
BandManager.h,identical,ba741128e3d7e63e1df8af806cc986ee8022a5baec91c48071d126dc268012c7,ba741128e3d7e63e1df8af806cc986ee8022a5baec91c48071d126dc268012c7,,,BandManager,,,,,,,
BandSpinBox.h,identical,08b7b7b4b702eec70716d5d9b2e26a6262ce915b79b76d53bec727609007798c,08b7b7b4b702eec70716d5d9b2e26a6262ce915b79b76d53bec727609007798c,,,BandSpinBox,,,,,,,
BandTool.h,identical,68464c8845ac70f2ddcd2b7c064bfeb7420582391ce9676daeccdd7ed14d6236,68464c8845ac70f2ddcd2b7c064bfeb7420582391ce9676daeccdd7ed14d6236,,,"BandTool
Cube
QAction
QComboBox
QHBoxLayout
QLabel
QRadioButton
QSpinBox
QStackedWidget
ToolPad",,,,,,,
Basis1VariableFunction.h,identical,09a3d8a32c87523243b86acc98cf46954a636dc828b70e23b89f2decfc7dcf1a,09a3d8a32c87523243b86acc98cf46954a636dc828b70e23b89f2decfc7dcf1a,,,Basis1VariableFunction,,,,,,,
BasisFunction.h,identical,8c0f9b27117f572f1d283c945bb4ea68e3a2c0e0106bf96f3607d9b9b93edb23,8c0f9b27117f572f1d283c945bb4ea68e3a2c0e0106bf96f3607d9b9b93edb23,,,BasisFunction,,,,,,,
BinaryStretchType.h,identical,46a203cec92c3537ffca469d531917eadc83ca0ffab81c2563b2580c3337dd72,46a203cec92c3537ffca469d531917eadc83ca0ffab81c2563b2580c3337dd72,,,"BinaryStretchType
CubeStretch
Histogram
QColor
QLineEdit
QSlider
QString
Stretch",,,,,,,
BlinkTool.h,identical,7b96c75a3d2a05968ffeafb10f9b50fe922c4d7beb832996c34bfd20510277f0,7b96c75a3d2a05968ffeafb10f9b50fe922c4d7beb832996c34bfd20510277f0,,,"BlinkTool
QAction
QDialog
QDoubleSpinBox
QHBoxLayout
QListWidget
QListWidgetItem
QMenu
QPushButton
QSplitter
QToolButton
QVBoxLayout",,,,,,,
Blob.h,changed_declarations,c3eda20ef66b7fa54217955dd14b88a38858c5e1b3e789bf72b033588608603e,28c7d2fed26c760bf7a5039a66f2b99cd0d9708a8414daaea1070362d3d4c017,,,"Blob
Pvl",,,,"QString Key()const;
int StartByte()const;
void ReadData(std::string&hexdata);
void ReadGdal(GDALDataset*dataset);
void Write(Pvl&pvl,std::fstream&stm);
void WriteData(std::stringstream&os);
void WriteGdal(std::string&json);","void Write(Pvl&pvl,std::fstream&stm,const QString&detachedFileName="""",bool overwrite=true);",,
BlobDetectionAlgorithm.h,identical,baca9f11b45c91c9fb82ded27fb94a5b6e06326f5eea3cfc0bc96a174c4e33b1,baca9f11b45c91c9fb82ded27fb94a5b6e06326f5eea3cfc0bc96a174c4e33b1,,,BlobDetectionAlgorithm,,,,,,,
Blobber.h,identical,eb450e16d02b6a496c02fa134199d205160294ba9617fa9e6195e17c4241664b,eb450e16d02b6a496c02fa134199d205160294ba9617fa9e6195e17c4241664b,,,"Blobber
Cube
Table",,,,,,,
BoxcarCachingAlgorithm.h,identical,879ed5906d7924e3f82b13acc8b89d721dc601bcd47bea742f296f37def0f25b,879ed5906d7924e3f82b13acc8b89d721dc601bcd47bea742f296f37def0f25b,,,"BoxcarCachingAlgorithm
QList
QQueue",,,,,,,
BoxcarManager.h,identical,d9277385634b7d2ca73943f5f95c8de9824356534166af77eed67817873116bf,d9277385634b7d2ca73943f5f95c8de9824356534166af77eed67817873116bf,,,BoxcarManager,,,,,,,
Brick.h,identical,ea8325ba5d3dcfe51f786de07ac6f14d2d7e01613fb147abbeca2514879912cc,ea8325ba5d3dcfe51f786de07ac6f14d2d7e01613fb147abbeca2514879912cc,,,Brick,,,,,,,
BriefDescriptorAlgorithm.h,identical,85b6869d0f0e1516309ca0ec8d4cc91eb28d2ab58f3c700217170402c1238f18,85b6869d0f0e1516309ca0ec8d4cc91eb28d2ab58f3c700217170402c1238f18,,,BriefDescriptorAlgorithm,,,,,,,
BrowseDialog.h,identical,26eac955d47d4c5d65c24746161680c6bd6ab3dd6222741d8bf7371263a987fe,26eac955d47d4c5d65c24746161680c6bd6ab3dd6222741d8bf7371263a987fe,,,BrowseDialog,,,,,,,
BruteForceMatcher.h,identical,67c5fa59ef84d18b761b1b36e75efc69e64235c4f1b88d11bf61b897d9d67e1b,67c5fa59ef84d18b761b1b36e75efc69e64235c4f1b88d11bf61b897d9d67e1b,,,BruteForceMatcher,,,,,,,
Buffer.h,identical,042e0e9948368dbf2af9d7b0d062f3ca627c695a4f8a832b0075649d42f8caf9,042e0e9948368dbf2af9d7b0d062f3ca627c695a4f8a832b0075649d42f8caf9,,,Buffer,,,,,,,
